id;name;address;capacity;no_of_rooms;floors
1;violent;../fake-data/blob/hipster.txt;27211;8253;17643
2;guess;../fake-data/blob/hipster.txt;8878;15183;28100
3;supposing near upward;../fake-data/blob/hipster.txt;6384;5944;25656
4;professionalise;../fake-data/blob/hipster.txt;7416;10697;17410
5;tight whereas alongside;../fake-data/blob/hipster.txt;8066;7925;11470
6;apropos;../fake-data/blob/hipster.txt;12095;12083;24091
7;justly beyond;../fake-data/blob/hipster.txt;21546;29137;1710
8;psst pure and;../fake-data/blob/hipster.txt;1035;23907;16544
9;athwart midst duh;../fake-data/blob/hipster.txt;23533;21012;24006
10;admired keep phooey;../fake-data/blob/hipster.txt;21005;10140;23348
