id;uuid;mode;date;value;status
1;922b11e4-3a8f-4f15-9d87-20f2d1b76916;UPI;2024-09-08;14733;SUCCESS
2;afba8c13-7f2a-494f-b806-a6116b663e77;NEFT;2024-09-07;24361;FAILED
3;66a1c5fb-abc2-4739-8678-4bdc4dc01597;CASH;2024-09-07;26745;INACTIVE
4;89c6fc1b-9cf0-407c-b5a8-95eb1f57fae2;UPI;2024-09-08;4926;ACTIVE
5;19b079ad-7df5-4558-b4d3-56b6d60e6870;CASH;2024-09-07;27222;DELAYED
6;9d6c1c58-ab82-4a4b-b8d1-38e5bcd78d8a;UPI;2024-09-07;26160;ACTIVE
7;c0de91c1-a7f6-4ca9-8100-866222d4c595;CASH;2024-09-08;14043;DELAYED
8;08933ed7-842e-4641-9795-4fd9a65809bf;UPI;2024-09-07;4631;DELAYED
9;823e152e-0de8-473c-9e5d-35c2e98b1168;UPI;2024-09-08;25797;ACTIVE
10;6fa56794-13f6-4291-9c0a-59d7f9b71a31;NEFT;2024-09-07;15935;SUCCESS
